evidence_path,role_in_run,sha256,size_bytes
00_CONTROL/AMEND_LOG_R1.md,"Correction log: 2 pre-completion entries + correction-pass entries (QC findings); .pre/new SHA pairs",46639DE5A0B3E35F1A6297FB7C52CFF9383630721FB112A5D6A493E8D633482C,22151
00_CONTROL/RUN_CONTRACT.md,"Authoritative contract (formalizer; executor READ-ONLY; SHA256 verified at dispatch: EEF4C898...AAC3E)",EEF4C8982FC49A1B3B2F051557ED7CCECDA4350690A3580809D4E67A410AAC3E,28824
00_CONTROL/SCRIPT_SHA256.csv,"SHA256 of all run-local generator scripts",00B062183478D64179BD744B492BDD324600B97640029493D65D81EEFB9DCF42,475
00_CONTROL/SOURCE_IDENTITIES.json,"Formalizer-measured source/repo/boot identities (executor re-verified S0 at run start)",0A66902D738D5C6DB3FB8B6B6B99F8D08C41E63D11C55EA4D1DEEAA395DFE1E8,8945
00_CONTROL/PRE_EDIT/00_CONTROL/AMEND_LOG_R1.md.pre,"package file",80D3A856D317D9BA012B5E1761D20CF967E205C07375CD0427815F7417AEAF32,2623
00_CONTROL/PRE_EDIT/00_CONTROL/SCRIPT_SHA256.csv.pre,"package file",0F2EEB865E9F0802C96C8A4743155E3700E1C6193897BCDC43403D17BA654495,379
00_CONTROL/PRE_EDIT/00_CONTROL/scripts/gen_manifest.py.pre,"package file",70CE5EAF91740887402B86A9C1A26945DDE6B4B222130E9228E3771173BA47C4,7866
00_CONTROL/PRE_EDIT/00_CONTROL/scripts/gen_raw_evidence.py.pre,"package file",791E92FCB9B8A890333832D2E4804D6E56FB57CA7F4A4F8E8FAEF600F2DA534B,33940
00_CONTROL/PRE_EDIT/01_RAW/AT_RUN_END_GIT_OBSERVATION.md.pre,"package file",B575241382D8882AF426B4FF214EAC985D87851E2A352BC9E56710AB107FA1BC,2998
00_CONTROL/PRE_EDIT/01_RAW/END_TO_END_VALUE_FLOW_RAW.txt.pre,"package file",0BBEC584C497C7E474DA1FAA602FF206F5E97410D66102B222B5ADE5FA38EDC6,8293
00_CONTROL/PRE_EDIT/01_RAW/FUN_00437F70_DISASM.txt.pre,"package file",54AA832AA948B7C4248EBA43C199EF95DF1D91BD837930825F9F4E2EB0FE328E,10244
00_CONTROL/PRE_EDIT/01_RAW/FUN_0050A050_DOWNSTREAM_DISASM.txt.pre,"package file",AD0E2DD3F3EBD45F4DF30269FEB01068FB320A40411773556D4AA39CB1AA519E,13717
00_CONTROL/PRE_EDIT/01_RAW/HELPER82B5A0_CALLER_CENSUS.csv.pre,"package file",2092154C0E72850EBD8A31DCB92603E7646353C6E4BFD462D2222B53029A7AA7,1065
00_CONTROL/PRE_EDIT/01_RAW/HELPER82B5A0_CALLER_CENSUS.txt.pre,"package file",DB81D5D03EF95782553C76630924E03C4F7AA77B411C59BB2ED451DCF898E3D6,3788
00_CONTROL/PRE_EDIT/01_RAW/SOURCE_VECTOR_LAYOUT_RAW.txt.pre,"package file",12FF2C63C3F2AA33D307DEC14FBBA97DB30DFA6C757A1ABBB38F50E1620A8D84,10901
00_CONTROL/PRE_EDIT/02_ANALYSIS/HELPER_OPERATIONS.md.pre,"package file",1F3155E464E7F042BAD81B0AE08D780A444D877613186BC41E9CA901B56A1E6C,3863
00_CONTROL/PRE_EDIT/02_ANALYSIS/SCIENCE_STATUS_DELTA.csv.pre,"package file",D8551BB8E34E387CB8C51AAA50AC3CD3C92AE7999002EBB74A724786A16FED56,2356
00_CONTROL/PRE_EDIT/03_EVIDENCE/EVIDENCE_INDEX.csv.pre,"package file",4E0F94A9C9FBDFBBD6DE65575E968136BF59A340890D913DE204724B798B96BD,4873
00_CONTROL/PRE_EDIT/03_EVIDENCE/README.md.pre,"package file",6EFD30CE58622B39245207B16C44D7210683CC89BCDA3C808A7339C62A464BE4,1255
00_CONTROL/PRE_EDIT/06_REPORT/HANDOFF.md.pre,"package file",817BA82D0F019C825201E244FE309A48A6855E508E4269720673FD0B5E06B34B,5645
