artifact,sha256,publication_scope
PROJECT_OPERATING_MODEL.md,99AE12375A9C4D60A4034263F2DE1D26EA5A817F12D630BA5B5340C672169E2A,COMMITTED_GOVERNANCE_TARGET
PE_MASTER_HUMAN_AUDIT_CONTRACT_v1.md,EC138A1D2F3D90E7A5C5059D57EE98EFCA7EA203CC876C1E5AE16915DD83E8D0,COMMITTED_GOVERNANCE_TARGET
AUDIT_ENTRYPOINT.md,C480577A339BA3B7FA34E79E0A877B425D3141C0CD4F5DF09D3C3D524BC7C63F,COMMITTED_GOVERNANCE_TARGET
docs/audits/PE_OPERATING_MODEL_AMENDMENT_A1_R2_20260906/00_CONTROL/amendment_source.md,3796FFC7C3449A0B0A088B3B3B4EE3FF821D4206CA61FFD093542933F417051A,COMMITTED_RUN_PACKAGE
docs/audits/PE_OPERATING_MODEL_AMENDMENT_A1_R2_20260906/00_CONTROL/append_amendment.ps1,4201CF19AE8B8150C1F15EE92E7B2AC7E3B040E5465D96525F1F5905A5347683,COMMITTED_RUN_PACKAGE
docs/audits/PE_OPERATING_MODEL_AMENDMENT_A1_R2_20260906/00_CONTROL/census_pre_commit.ps1,1FA3A56C26B4038C851EBCA7BEA90301A396EA80D7CC56F6B6993A9F935C6985,COMMITTED_RUN_PACKAGE
docs/audits/PE_OPERATING_MODEL_AMENDMENT_A1_R2_20260906/00_CONTROL/insert_entrypoint_row.ps1,41B6A71375447F7CBFDF38C349A02E22908A8F7CBC1F8428D9FA4504259AD478,COMMITTED_RUN_PACKAGE
docs/audits/PE_OPERATING_MODEL_AMENDMENT_A1_R2_20260906/00_CONTROL/prove_byte_prefix.ps1,D488DB0447DCCB56255E5DE90DDC4A5C2D45AC81BE6A9EA7D48739585024B864,COMMITTED_RUN_PACKAGE
docs/audits/PE_OPERATING_MODEL_AMENDMENT_A1_R2_20260906/00_CONTROL/verify_contract_completeness.ps1,8B7CF66BE24F9B98F6349B5E050CBE5A0A678E16365BD45E94648AD7BCABCAD1,COMMITTED_RUN_PACKAGE
docs/audits/PE_OPERATING_MODEL_AMENDMENT_A1_R2_20260906/00_CONTROL/verify_entrypoint_rows.ps1,FA86E1A1CF08D9A6A6C27DA5ED9AD8E33CBFB403B143DE4654B41DA6B0FD263D,COMMITTED_RUN_PACKAGE
docs/audits/PE_OPERATING_MODEL_AMENDMENT_A1_R2_20260906/01_RAW/AUDIT_ENTRYPOINT.md.pre,58ECFB09BB4120CB8986BC990489100F63A32F5ADD06C9831544EE87D6C7DBC4,COMMITTED_RUN_PACKAGE
